...1,Sample,Exp1,Exp2,Mean,Difference,Outlier,Label
1,8759333,-12.4,-15,-13.7,2.65,FALSE,NA
2,7784882,14.5,12,13.2,2.45,FALSE,NA
3,8142062,-1.31,4.36,1.52,-5.67,FALSE,NA
4,5400115,16.6,21.7,19.1,-5.12,FALSE,NA
5,5247444,8.52,6.97,7.75,1.55,FALSE,NA
6,9084783,7.23,9.56,8.4,-2.33,FALSE,NA
7,6892322,18.5,12.3,15.4,6.12,FALSE,NA
8,9313232,-1.54,-7.89,-4.72,6.35,FALSE,NA
9,9316633,-3.82,-1.46,-2.64,-2.36,FALSE,NA
10,2880580,4.98,2.87,3.92,2.12,FALSE,NA
11,5406540,-3.91,-1.36,-2.63,-2.54,FALSE,NA
12,5761343,-13,-14.1,-13.6,1.15,FALSE,NA
13,1847850,-21,-16.8,-18.9,-4.17,FALSE,NA
14,7626942,-14.7,-17,-15.8,2.25,FALSE,NA
15,2695496,9.46,11.9,10.7,-2.4,FALSE,NA
16,3352986,-17.3,-16.5,-16.9,-0.785,FALSE,NA
17,4073122,-1.74,-3.83,-2.78,2.09,FALSE,NA
18,8671748,7.56,9.59,8.58,-2.03,FALSE,NA
19,3777700,10.3,10.4,10.4,-0.0958,FALSE,NA
20,3567761,-14.4,-15.2,-14.8,0.782,FALSE,NA
21,9036951,1.61,-1.41,0.1,3.01,FALSE,NA
22,3209981,-11.1,-7.92,-9.52,-3.2,FALSE,NA
23,2631138,-13.7,-11.2,-12.4,-2.5,FALSE,NA
24,3836811,1.79,3.93,2.86,-2.14,FALSE,NA
25,7928033,-4.74,-1.89,-3.32,-2.85,FALSE,NA
26,9669295,14,15.9,15,-1.93,FALSE,NA
27,1707657,18.2,22.5,20.4,-4.28,FALSE,NA
28,2100595,-5.19,-4.48,-4.84,-0.707,FALSE,NA
29,2959974,16.3,11.6,14,4.66,FALSE,NA
30,3281811,9.45,17.4,13.4,-7.99,FALSE,NA
31,6178265,6.32,8.73,7.52,-2.41,FALSE,NA
32,7668370,13.2,14.5,13.9,-1.27,FALSE,NA
33,1326307,4.6,-2.4,1.1,7,FALSE,NA
34,6050390,-9.85,-13.7,-11.8,3.89,FALSE,NA
35,2720213,8.21,12.9,10.6,-4.74,FALSE,NA
36,8120625,-10.7,-0.237,-5.48,-10.5,FALSE,NA
37,1915863,-7.86,-1.68,-4.77,-6.18,FALSE,NA
38,2123756,13.7,7.01,10.3,6.65,FALSE,NA
39,6158054,2.48,8.47,5.47,-5.99,FALSE,NA
40,4121206,5.57,-3.33,1.12,8.89,FALSE,NA
41,5929562,-5.9,-10.6,-8.26,4.73,FALSE,NA
42,3072800,15.8,15.9,15.9,-0.116,FALSE,NA
43,1514464,-7.43,-2.28,-4.86,-5.15,FALSE,NA
44,4631199,11,14,12.5,-3.05,FALSE,NA
45,2365584,8.89,4.41,6.65,4.49,FALSE,NA
46,2655502,-1.99,-5.76,-3.87,3.77,FALSE,NA
47,5818106,-11.7,-11.4,-11.5,-0.307,FALSE,NA
48,2535939,11.5,9.09,10.3,2.45,FALSE,NA
49,7534533,-7.24,-4.11,-5.67,-3.13,FALSE,NA
50,5445187,10.6,14.7,12.6,-4.06,FALSE,NA
51,5520524,8.8,13.8,11.3,-5.05,FALSE,NA
52,9467043,22.4,16.9,19.6,5.54,FALSE,NA
53,3327541,-8.73,3.13,-2.8,-11.9,TRUE,3327541
54,8554570,-0.781,-10.5,-5.64,9.73,FALSE,NA
55,6531092,10.2,4.69,7.45,5.51,FALSE,NA
56,6801126,-10.7,-5.92,-8.33,-4.81,FALSE,NA
57,8036537,0.112,8.83,4.47,-8.72,FALSE,NA
